easting,northing
1881003.61906327,5522481.38758185
1774991.46044167,5577600.11720823
1763234.40635468,5430838.11067786
1843768.83139458,5530749.2406126
1749020.12058609,5429267.00045727
1983055.45343015,5670097.45201839
1583644.7994242,5272347.66649584
1285178.2807816,5028545.50399158
1751392.94301524,5423428.96002312
1748645.57125233,5426332.54486156
1745879.54589281,5428161.30923353
1294392.89087159,5043735.85746378
1604394.79915376,5281441.45202593
1415769.8473176,5228754.7121337
1415745.93927508,5228442.88587423
1763891.7922499,5947911.82177112
1571672.43435129,5219521.4362217
1217860.05459099,4801322.91743018
1871611.17975504,5719918.66634703
1312188.33505129,4980996.60262272
1162547.57178446,5024929.2477553
1863412.13579004,5624444.88567775
1280673.40714082,5120707.46848984
1111679.04695389,4934105.5915591
1700920.72689288,5377377.77303932
1124883.7642752,4982914.86803473
1869646.336644,5466319.37819327
1667376.58271786,5333850.48613707
1133425.95739508,4994239.11803046
1118163.94987527,4952478.61921882
1105152.45692965,4916933.13549944
1821133.31561674,5649542.16361401
1151561.03923335,5012045.61119686
1771641.11337024,5908549.85879033
1115665.79856357,4964784.54960301
1754273.17226851,5920355.81147164
1413603.71883911,4915994.89806367
1761789.04765109,5735640.29316182
1886806.90617661,5745790.79757617
1751939.23198068,5923488.67647511
1858833.93330191,5807237.16203186
1894643.9452554,5630577.26329625
1097104.12527654,4894742.27735693
1299479.10019963,5153011.48102287
1118279.42900916,4888824.43814557
1769388.14005806,5929096.61500628
1714444.05575427,5673951.04193784
2024097.44483677,5654811.81926307
1792041.78518857,5891390.53977447
1757230.32862793,5736718.9826654
1929212.35136908,5665551.029884
2038626.90918955,5713758.49500746
1831413.60343642,5668885.40104084
1783037.04892007,5479325.41108842
1604793.22455318,5158862.55531684
1586426.03393366,5152473.76979047
1771390.78367878,5909009.66590669
1654252.42313601,6102431.11246214
1834933.97260201,5525085.29404889
2023421.34264763,5680461.59334035
1985123.85312014,5729947.46009295
1954297.43831599,5684583.57944061
1180309.86316289,5039368.90664646
1175791.32459026,5033696.22403898
1127209.68196248,4969292.48868809
1126934.90931052,4920736.18045277
1141711.53604588,5002056.38391999
1587580.6899856,6179072.60588744
1843523.82768873,5482096.42107586
1831413.60343642,5668885.40104084
1678781.77661171,5413145.84192156
2036344.4235117,5762841.00842698
1790391.66285882,5925966.48018971
1969272.96006949,5839442.22009689
1740120.50286215,5911468.41189707
1282674.80811118,5133273.09869254
1613756.64885965,5340484.11031095
1757836.91276238,5919954.34258764
1927505.06961579,5587875.30683845
1118182.56270866,4960753.62090421
1802105.50852779,5815487.61686538
1751943.27723281,5923486.48760595
1911942.7155053,5626091.94282664
1955644.75564564,5678083.04184553
1825314.37024874,5628628.83526906
1753813.44326068,5916456.51695634
1131613.79869424,4983405.33751211
1196775.67931099,4860753.94543273
1951843.82490468,5691225.76015247
1108366.77946845,4921238.83384318
1125501.25907872,4969698.08110964
1960232.11284346,5693952.51838329
1582682.76965114,5326335.46096701
1141764.50122145,5001992.46872406
1960258.61678688,5693951.31271926
1719121.72433999,6046866.85568402
1415677.48091645,5228399.91433476
1669591.43775701,5393652.98328208
1634266.77547877,5343423.40495086
1749246.26462362,5428760.70991172
