Station,easting,northing,Vs30,Std,q
CPT_111996_measurement_num_0,1797041.85,5817769.4,221.7,,5
CPT_111997_measurement_num_0,1797082.31,5817687.74,208.91,,5
CPT_111998_measurement_num_0,1797123.06,5817598.84,172.48,,5
CPT_111999_measurement_num_0,1797228.16,5817643.33,232.36,,5
CPT_1119_measurement_num_0,1573557.78,5181723.25,148.41,,5
CPT_111_measurement_num_0,1573403.45,5181583.98,157.34,,5
CPT_112008_measurement_num_0,1798077.78,5814134.69,171.08,,5
CPT_112009_measurement_num_0,1798068.8,5814125.32,181.55,,5
CPT_1120_measurement_num_0,1573563.31,5181672.51,151.58,,5
CPT_11216_measurement_num_0,1572453.26,5181416.64,179.6,,5
CPT_112184_measurement_num_0,1879415.89,5824110.57,212.17,,5
CPT_112189_measurement_num_0,1879368.91,5824061.05,203.18,,5
CPT_11218_measurement_num_0,1572215,5180573.1,146.98,,5
CPT_112191_measurement_num_0,1879347.09,5824060.9,219.54,,5
CPT_112192_measurement_num_0,1879347.21,5824077.34,210.65,,5
CPT_112193_measurement_num_0,1879351.7,5824071.85,201.92,,5
CPT_112194_measurement_num_0,1879354.43,5824081.98,204.78,,5
CPT_112197_measurement_num_0,1879338.24,5824075.75,198.74,,5
CPT_112198_measurement_num_0,1879334.16,5824059.56,198.63,,5
CPT_1121_measurement_num_0,1573449.04,5181581.74,149.96,,5
CPT_112200_measurement_num_0,1879358.95,5824103.39,222.58,,5
CPT_112201_measurement_num_0,1879369.93,5824112.13,213.65,,5
CPT_112202_measurement_num_0,1879351.8,5824113.96,229.08,,5
CPT_112203_measurement_num_0,1879358.76,5824136.73,203.41,,5
CPT_112204_measurement_num_0,1879364.74,5824125.64,224.06,,5
CPT_112206_measurement_num_0,1879401.03,5824130.96,218.67,,5
CPT_112209_measurement_num_0,1879414.58,5824030.39,207.88,,5
CPT_11220_measurement_num_0,1572215,5180573.1,165.09,,5
CPT_112210_measurement_num_0,1879393.06,5824101.57,208.7,,5
CPT_112211_measurement_num_0,1569988.75,5180511.92,181.27,,5
CPT_112212_measurement_num_0,1570000.91,5180484.65,180.07,,5
CPT_112214_measurement_num_0,1569983.94,5180485.35,194.9,,5
CPT_11224_measurement_num_0,1572318.38,5182395.15,184.35,,5
CPT_11227_measurement_num_0,1574621.52,5182386.62,153.28,,5
CPT_1122_measurement_num_0,1573404.17,5181504.98,151.52,,5
CPT_112326_measurement_num_0,1569823.67,5182671.31,166.69,,5
